"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2155","increaseAndDecreaseProdQuality","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","732","VerifyStartShoppingNavigationFromEmptyCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1712","verifyCartTotal","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","2112","addingMultipleProduct","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","2368","addSameProducttwice","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1180","VerifyCheckoutwithProductsinCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1522","addSingleProductToCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","875","verifyEmptyCartState","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","872","verifyProductCanBeAddedToCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1135","verifyCartAfterRefreshing","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","864","VerifyDiscountedProductPriceIsDisplayedCorrectly","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","945","verifyContinueShoppingNavigation","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
